Colonia,Alcaldía,lat,lon,hospital_dist(km),pharmacy_dist(km),clinic_dist(km),dentist_dist(km),doctors_dist(km),convenience_dist(km),supermarket_dist(km),butcher_dist(km),marketplace_dist(km),greengrocer_dist(km),mall_dist(km),school_dist(km),university_dist(km),kindergarten_dist(km),bank_dist(km),atm_dist(km),target
TLALPAN CENTRO,TLALPAN,19.287793024,-99.172381927,1.5639865855634314,0.4759173594835832,1.1977289107026512,0.7649531031444191,1.1553969837355338,0.4407911446924789,0.9688745932721768,0.7201723969837875,2.624751989906085,0.7509496864813943,5.226766923486442,1.3544994980561866,0.4019333594326005,0.7658591051128623,0.4839905444393458,0.9164455907126612,33123.125
TLALCOLIGIA,TLALPAN,19.276078256,-99.171326456,1.6268124271382935,0.462396817248605,1.8849488032051969,1.768591268853756,0.5966426999105039,0.5147841413958274,0.1050874063815527,1.4704528833195671,3.9233726743092014,1.7728223763723474,6.182986681745296,2.215610392106482,0.99824265356955,1.757323452711473,0.4498477227672094,2.160334715401833,29738.5
TLACOYAQUE (AMPL),ALVARO OBREGON,19.32208927,-99.268236734,0.9026891443711318,2.4521333219614347,4.19379293542437,2.6318449787263574,4.909878961673712,2.877801849259334,0.5489336345035926,2.7183180496048798,4.390829591637175,2.4589262925998967,3.248083303140086,1.2919593041157635,4.024919601072591,2.431647470726414,3.251331096336199,4.346349596238687,28312.0
TLACOQUEMECATL DEL VALLE,BENITO JUAREZ,19.376453174,-99.174780796,1.1690616499105748,0.1069505716160256,1.3024393467197803,0.8102111493318809,0.3318533114456299,0.0837001900662131,0.4151653875329428,1.5335841135136423,0.4520832914582011,0.7838235748124734,3.094257216417464,0.98565901897527,0.9074870060085428,1.7282723859927114,0.304517743771297,1.1679314435471215,43962.220338983
TLACOPAC,ALVARO OBREGON,19.354639483,-99.195121997,1.6639897313376446,0.9773316228226728,3.803578722683517,2.33871096803241,1.8060969695563447,0.5495965031568717,1.2960896151576482,3.701923255265549,2.0534294874319388,2.6085299414101977,0.6013970507841833,1.1140923295359448,1.9676621268421672,3.69735628361718,0.5559365852506439,0.8511089906276184,53340.6
TLACAMACA,GUSTAVO A. MADERO,19.474256613,-99.136937993,1.0683276558914163,0.7353095735691128,1.532903457396774,1.3468006102142218,1.231412321751893,0.3549060504172022,0.2294122222364987,3.341945981244079,0.5583757167570089,1.3345802169936818,3.639923082638562,0.1417620177120949,4.754358909582575,0.8640176962174897,0.7130408354698378,1.724020573467747,34104.666666667
TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,19.337030852,-99.201027136,0.0469677751532288,1.2538458162121375,4.702928962848714,3.906741482395388,0.266288288174906,0.359196904861613,0.302233258393661,4.269473639966304,0.0634410291781004,3.7315133301263046,0.8746649053087465,0.2453665698059784,0.6495765629492313,3.953428692664316,0.3259079238556894,0.7170393792095777,44620.111111111
TIZAMPAMPANO,ALVARO OBREGON,19.341945066,-99.220781876,2.1617566672984814,0.5259442989765256,3.81659660877283,1.889895906663997,2.07939744323855,0.4673812054599893,0.324716080220194,4.756993477596542,1.882368938600746,1.746308385879589,2.3502470178899286,0.3557860851247242,2.715119428999228,2.209439440027364,0.8893278292129962,0.3474832035615081,33061.666666667
TIERRA NUEVA,CUAUHTEMOC,19.415400391,-99.171455609,0.3112023468681444,0.4932332512868862,0.4390787067551234,1.0240583946463269,1.4422667758694232,0.127336252207435,0.44479587812716,1.2164817500002538,2.2647491193061464,0.9458098805664356,1.7380720016141944,0.1199464363182922,1.2322000687254446,0.6665894363108156,0.4032273400578061,0.4719313955272221,30329.75
TEZOZOMOC,AZCAPOTZALCO,19.489894304,-99.198820442,0.9469157356568516,0.3206236577600373,2.2106497802329943,0.9754243593560508,1.8353300381777464,1.1259800325060003,1.5097942427029547,2.6248070401648067,1.5910036098917553,3.328223656549364,4.705385713771536,0.2046515867561184,4.959114117101559,1.7283488481732712,1.5080381620923808,2.050592329667783,22946.5
