Colonia,Alcaldía,lat,lon,hospital_near,hospital_dist(km),pharmacy_near,pharmacy_dist(km),clinic_near,clinic_dist(km),dentist_near,dentist_dist(km),doctors_near,doctors_dist(km),convenience_near,convenience_dist(km),supermarket_near,supermarket_dist(km),butcher_near,butcher_dist(km),marketplace_near,marketplace_dist(km),greengrocer_near,greengrocer_dist(km),mall_near,mall_dist(km),school_near,school_dist(km),university_near,university_dist(km),kindergarten_near,kindergarten_dist(km),bank_near,bank_dist(km),atm_near,atm_dist(km),target
VALLE GOMEZ,VENUSTIANO CARRANZA,19.457491834,-99.120095016,23,0.9547744471972479,307,0.7474904782109844,33,0.8009584719939247,25,1.5562736022402697,69,1.1300070996569134,1009,0.2713917119720931,223,0.6772371778254259,41,1.049939933939183,23,0.2563969700071722,1,1.5439387917522367,12,1.8778161422248423,468,0.2984260226090713,6,4.647633661918378,33,1.0980339096002354,88,0.809075772321183,9,0.8833514136499351,19763.7
VALLE ESCONDIDO,TLALPAN,19.277971118,-99.145276071,17,1.241287496610835,289,0.7788355197398769,18,2.1932622518640383,22,2.3644613255144953,37,2.009398349406166,268,0.26162940947553687,186,0.37195107045316494,14,2.373670957973165,55,4.485041986606843,32,1.1522703703909973,21,8.149777658199747,361,2.0254567523626683,8,2.1357642445094305,35,2.4101274115524123,97,0.48449440307847047,37,2.157468018305514,30927.0
VALLE DEL TEPEYAC,GUSTAVO A. MADERO,19.487225609,-99.140115985,98,0.7368073779909371,302,0.6235696185427533,25,0.6508287364378778,97,1.9451182595594332,79,1.3884536296314494,568,0.6603517014214446,302,0.8389449331779147,77,2.5147335872162446,60,0.9363950482209675,1,2.4446308897476277,12,5.119746057110851,352,0.6440365139665092,6,5.945292786016559,48,1.4447069591637713,707,0.6486325918546766,109,0.7522829857515391,16211.0
VALLE DEL SUR,IZTAPALAPA,19.347949491,-99.114711243,42,1.204915145353617,186,0.3870662712864994,1,1.4498146579201054,76,1.2171961465974575,42,1.5208507979007495,1270,0.3341074677526091,157,1.434773088780569,52,1.455511430811085,9,1.5926531493998246,47,1.078634653851949,21,3.5320247502454953,501,1.0603979577050582,78,2.634775648762482,56,1.366421068832379,465,1.2035557534047232,104,3.040938112732894,32977.5
VALLE DE TEPEPAN,TLALPAN,19.272133817,-99.145437772,17,0.7754975253850074,289,1.201949282428409,19,2.697852111646725,20,2.61158600894806,67,2.3428213241490536,268,0.5499215375379738,186,0.2773693675420942,14,2.897557438366188,55,4.1870594076875305,32,0.9850563543952856,5,8.537290685855854,184,2.2734830831662425,8,2.367497876208908,43,2.756050850081432,336,1.0745228837755725,37,1.9644495555880668,31004.166666667
VALENTIN GOMEZ FARIAS,BENITO JUAREZ,19.387341826,-99.164973092,18,0.3431223521942912,311,0.20771244104388942,61,0.31299107121853675,34,1.3399918031903613,75,1.7382010879318648,369,0.23655927288941736,375,0.33275252885644147,66,1.7588770462718089,77,0.8353642211706406,38,0.5705935772304089,1,2.84979484145611,158,0.28836197567818866,66,1.6105036231134293,26,1.3409505955939038,105,0.28572453851986507,22,0.6709712683544763,22073.0
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,TLAHUAC,19.303706697,-99.043790888,81,4.133321985803308,374,0.29471441077826366,21,4.103941618276799,1,2.125410044154681,4,7.2559471436771235,760,0.5817787336267208,124,2.052205937615637,48,3.253709669545071,74,5.330896274236101,41,3.4461008476852966,2,5.51985942047524,400,0.092131049892072,79,6.424058994021212,7,5.577323361304122,473,0.42611158963704737,37,9.544255705675683,12595.5
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,TLAHUAC,19.306785097,-99.048240846,81,3.606437862811955,375,0.4347614438910018,21,3.5935613481107116,1,1.739151958513077,4,6.756488937295036,760,0.11493034219600454,124,1.9588905323930128,48,2.721511595190313,74,4.93952691839547,45,3.0558613282229397,2,5.47457385002648,400,0.6441319152801362,79,5.884016072945896,7,4.999823815383073,473,0.9314698437345118,37,9.268463955581899,9564.75
UN HOGAR PARA NOSOTROS,MIGUEL HIDALGO,19.448486963,-99.169174922,33,0.3182454840046218,257,0.6249177920927255,48,1.3980719552909013,66,1.1643502501589622,47,1.3290477306268182,338,0.38421448222090504,218,1.03870910668198,10,3.488332341787721,33,1.0798033468136137,19,1.5618819405932405,19,2.5321412349664545,119,0.2832658654784768,6,1.7263878185884247,40,0.7236418988312381,392,1.064569916377371,3,1.3341496810317115,34547.0
UN HOGAR PARA CADA TRABAJADOR,AZCAPOTZALCO,19.473895423,-99.176158388,61,1.1085137225627946,110,0.7258240909142022,27,2.7266776237342514,59,1.1931902505876681,47,2.023307167191299,302,0.33560219717487166,89,0.20895496213728262,0,0.8091517944948721,20,1.3971318472465322,2,1.07979605334277,19,4.69078774255744,98,0.3381712376399405,6,4.535516025444636,15,0.942278273258201,209,0.5739269388020567,86,0.6465455857619685,22000.0
